# Tycho-2 (Hog et al. 2000, VizieR I/259/tyc2) subset for the synthetic sky renderer.
# Fetched 2026-09-09 from vizier.cds.unistra.fr. Positions are ICRS/J2000 degrees, VTmag is Tycho V.
# Two kinds of coverage:
#  1. Three 4.2 deg-radius fields spanning galactic star density -- rich (300.0,+35.0),
#     medium (83.6,+22.0), sparse north galactic pole (192.86,+27.13) -- plus a band
#     RA 100..180, Dec 35..45, for tests that fix the pointing explicitly.
#  2. A complete Dec 62..78 band at all right ascensions, VTmag < 11 (~19 stars/deg^2).
#     This is what lets the simulated mount be pointed by the session's own target
#     selection at any time of day: for a mid-northern site it picks a declination
#     around 70 deg, whose right ascension then depends on the clock.
# Committed so that every render is reproducible offline.
ra_deg,dec_deg,vtmag
2.1909267,63.4102686,10.031
2.1918023,62.5333609,9.757
2.1931111,73.0185513,9.177
2.1986134,63.9069910,10.627
2.1996429,71.5006723,10.196
2.2010811,72.2460392,9.927
2.2156353,69.9639625,9.931
2.2198904,70.3488344,9.491
2.2308714,73.2720560,9.524
2.2313302,72.8275272,9.205
2.2317861,75.7023071,10.663
2.2384908,66.4566534,8.716
2.2491151,66.9192812,9.249
2.2509779,66.2492711,10.395
2.2848021,62.7039390,10.018
2.2854900,71.9511615,10.911
2.3106942,65.5707559,9.571
2.3155309,73.6082260,10.735
2.3198241,65.0708879,7.128
2.3203683,62.3439035,10.302
2.3218719,63.0479465,10.346
2.3256589,70.3754006,10.143
2.3446173,65.0024892,9.386
2.3555930,66.7012356,10.970
2.3597555,63.9539162,8.565
2.3637666,74.7946525,9.626
2.3659732,76.8961086,10.629
2.3728358,62.1956122,10.906
2.4015618,62.6678122,9.750
2.4041898,67.2267051,10.784
2.4264607,70.1201207,10.468
2.4282471,67.1011390,10.357
2.4284111,66.0892941,10.982
2.4358265,75.1382452,10.719
2.4408820,62.5866793,8.322
2.4482776,64.4108062,10.946
2.4580554,70.0938173,9.471
2.4632313,65.5491303,10.322
2.4651629,62.7535272,10.666
2.4678396,64.6312291,9.467
2.4693081,69.1025094,10.646
2.4729623,63.6292018,10.035
2.4786249,63.5974561,10.952
2.4794346,73.4832542,10.379
2.4831804,73.4846703,10.411
2.4838354,75.9874527,8.904
2.4862254,63.6464741,10.580
2.4864034,65.3760756,10.903
2.4972864,65.7436808,8.026
2.5138269,72.9659982,10.853
2.5146968,70.3754813,10.790
2.5175529,67.4697402,9.811
2.5330317,64.8187728,9.988
2.5436094,64.6467157,8.263
2.5449554,67.2916508,9.244
2.5465896,70.0257162,10.565
2.5505545,63.4789930,9.694
2.5553440,70.6499161,10.477
2.5556892,68.0056784,10.649
2.5606204,75.8282080,8.371
2.5675190,65.1840855,10.756
2.5736832,62.3413731,10.056
2.5771512,62.0728771,10.875
2.5876409,73.5727573,10.390
2.6060506,66.0591241,10.129
2.6102474,63.3460327,10.306
2.6127282,73.6176740,10.880
